"Quarter","All firms","Small firms","Midsize firms","Large firms","TimePeriod","Survey"
2025 Q2,-7.59390533438893,-8.947977,-8.929577,-3.557692,Last 12 months,4/1/2025
2025 Q3,-7.31741967769806,-7.185328,-8.815217000000001,-5.907407,Last 12 months,7/1/2025
2025 Q4,-5.54304475,-5.849315,-4.824074,-6.087719,Last 12 months,10/1/2025
2026 Q1,-4.41429279744625,-6.21561333537102,-4.1682243347168,-3.58333326876163,Last 12 months,1/1/2026
2026 Q2,-3.9741225540638,-4.72161136567593,-4.76190485060215,-3.10169477015734,Last 12 months,4/1/2026
2023 Q3,-4.79350096588936,-8.485436999999999,-3.90566,-2.594595,Last 3 years,7/1/2023
2023 Q4,-5.09952248750619,-6.45679,-5.339623,-1.5,Last 3 years,10/1/2023
2024 Q1,-5.26900037365825,-7.869159000000001,-3.887097,-2.886364,Last 3 years,1/1/2024
2024 Q2,-4.85580899617443,-5.292517,-3.780822,-2.865385,Last 3 years,4/1/2024
2024 Q3,-8.925684444303441,-10.160714,-6.22093,-2.414634,Last 3 years,7/1/2024
2024 Q4,-6.76645226726406,-6.635135,-6.560605999999999,-3.607843,Last 3 years,10/1/2024
2025 Q1,-6.52516157,-6.927007000000001,-6.646154,-1.818182,Last 3 years,1/1/2025
2025 Q2,-7.59390533438893,-8.947977,-8.929577,-3.557692,Last 3 years,4/1/2025
2025 Q3,-7.31741967769806,-7.185328,-8.815217000000001,-5.907407,Last 3 years,7/1/2025
2025 Q4,-5.54304475,-5.849315,-4.824074,-6.087719,Last 3 years,10/1/2025
2026 Q1,-4.41429279744625,-6.21561333537102,-4.1682243347168,-3.58333326876163,Last 3 years,1/1/2026
2026 Q2,-3.9741225540638,-4.72161136567593,-4.76190485060215,-3.10169477015734,Last 3 years,4/1/2026
2021 Q3,.52052987699196,-.14285714285714,1.88461538461538,2.36170212765957,Last 5 years,7/1/2021
2021 Q4,.18147316584681,.88571428571429,2.16666666666667,1.12765957446809,Last 5 years,10/1/2021
2022 Q1,.99691724700185,3.27272727272727,1.28070175438596,3.7906976744186,Last 5 years,1/1/2022
2022 Q2,1.29893619371156,.8405797101449299,1.6734693877551,.76315789473684,Last 5 years,4/1/2022
2022 Q3,-2.16891856080601,-5.136364,-2.6,1.909091,Last 5 years,7/1/2022
2022 Q4,-2.1,-3.5,-1,2.9,Last 5 years,10/1/2022
2023 Q1,-4.60377521055197,-5.210526,-3.54,-4.428571,Last 5 years,1/1/2023
2023 Q2,-3.95047852176835,-6.693333,-2.927273,-2.268293,Last 5 years,4/1/2023
2023 Q3,-4.79350096588936,-8.485436999999999,-3.90566,-2.594595,Last 5 years,7/1/2023
2023 Q4,-5.09952248750619,-6.45679,-5.339623,-1.5,Last 5 years,10/1/2023
2024 Q1,-5.26900037365825,-7.869159000000001,-3.887097,-2.886364,Last 5 years,1/1/2024
2024 Q2,-4.85580899617443,-5.292517,-3.780822,-2.865385,Last 5 years,4/1/2024
2024 Q3,-8.925684444303441,-10.160714,-6.22093,-2.414634,Last 5 years,7/1/2024
2024 Q4,-6.76645226726406,-6.635135,-6.560605999999999,-3.607843,Last 5 years,10/1/2024
2025 Q1,-6.52516157,-6.927007000000001,-6.646154,-1.818182,Last 5 years,1/1/2025
2025 Q2,-7.59390533438893,-8.947977,-8.929577,-3.557692,Last 5 years,4/1/2025
2025 Q3,-7.31741967769806,-7.185328,-8.815217000000001,-5.907407,Last 5 years,7/1/2025
2025 Q4,-5.54304475,-5.849315,-4.824074,-6.087719,Last 5 years,10/1/2025
2026 Q1,-4.41429279744625,-6.21561333537102,-4.1682243347168,-3.58333326876163,Last 5 years,1/1/2026
2026 Q2,-3.9741225540638,-4.72161136567593,-4.76190485060215,-3.10169477015734,Last 5 years,4/1/2026
2016 Q2,-3.5,-9.199999999999999,-3,-1.9,Last 10 years,6/1/2016
2016 Q3,-4,-6.3,-5,-1.3,Last 10 years,9/1/2016
2016 Q4,-3.4,-4.6,-1.9,-1.6,Last 10 years,12/1/2016
2017 Q1,-1.8,-6.1,2.7,-1.7,Last 10 years,3/1/2017
2017 Q2,-1.6,-3.7,1.2,-1.1,Last 10 years,6/1/2017
2017 Q3,-2.3,-5.600000000000001,-2.4,-1,Last 10 years,9/1/2017
2017 Q4,-3,-5.7,-1.1,.3,Last 10 years,12/1/2017
2018 Q1,0,-3.1,1.1,3,Last 10 years,3/1/2018
2018 Q2,-.5,-2.7,1.4,1.6,Last 10 years,6/1/2018
2018 Q3,-2.4,-6.9,-.4,3.4,Last 10 years,9/1/2018
2019 Q1,-3.6,-4.8,-1.8,-1.5,Last 10 years,1/1/2019
2019 Q2,-5,-5.2,-1.3,-5.5,Last 10 years,4/1/2019
2019 Q3,-.1,-3.7,2.3,1.1,Last 10 years,7/1/2019
2019 Q4,-.8999999999999999,-5.3,2.2,-.8,Last 10 years,10/1/2019
2020 Q1,-2.5,-3.1,-4.399999999999999,-2,Last 10 years,1/1/2020
2020 Q2,-31.6,-35.6,-22.3,-22.9,Last 10 years,4/1/2020
2020 Q3,-14.3,-14.9,-13.5,-7.6,Last 10 years,7/1/2020
2020 Q4,-9.819269758055329,-10.8295454545455,-8.761904761904759,-5.706896551724141,Last 10 years,10/1/2020
2021 Q1,-5.994375351877379,-4.88297872340425,-6.491803278688529,-3.52,Last 10 years,1/1/2021
2021 Q2,-1.08772814103283,.27272727272727,-.24193548387097,.375,Last 10 years,4/1/2021
2021 Q3,.52052987699196,-.14285714285714,1.88461538461538,2.36170212765957,Last 10 years,7/1/2021
2021 Q4,.18147316584681,.88571428571429,2.16666666666667,1.12765957446809,Last 10 years,10/1/2021
2022 Q1,.99691724700185,3.27272727272727,1.28070175438596,3.7906976744186,Last 10 years,1/1/2022
2022 Q2,1.29893619371156,.8405797101449299,1.6734693877551,.76315789473684,Last 10 years,4/1/2022
2022 Q3,-2.16891856080601,-5.136364,-2.6,1.909091,Last 10 years,7/1/2022
2022 Q4,-2.1,-3.5,-1,2.9,Last 10 years,10/1/2022
2023 Q1,-4.60377521055197,-5.210526,-3.54,-4.428571,Last 10 years,1/1/2023
2023 Q2,-3.95047852176835,-6.693333,-2.927273,-2.268293,Last 10 years,4/1/2023
2023 Q3,-4.79350096588936,-8.485436999999999,-3.90566,-2.594595,Last 10 years,7/1/2023
2023 Q4,-5.09952248750619,-6.45679,-5.339623,-1.5,Last 10 years,10/1/2023
2024 Q1,-5.26900037365825,-7.869159000000001,-3.887097,-2.886364,Last 10 years,1/1/2024
2024 Q2,-4.85580899617443,-5.292517,-3.780822,-2.865385,Last 10 years,4/1/2024
2024 Q3,-8.925684444303441,-10.160714,-6.22093,-2.414634,Last 10 years,7/1/2024
2024 Q4,-6.76645226726406,-6.635135,-6.560605999999999,-3.607843,Last 10 years,10/1/2024
2025 Q1,-6.52516157,-6.927007000000001,-6.646154,-1.818182,Last 10 years,1/1/2025
2025 Q2,-7.59390533438893,-8.947977,-8.929577,-3.557692,Last 10 years,4/1/2025
2025 Q3,-7.31741967769806,-7.185328,-8.815217000000001,-5.907407,Last 10 years,7/1/2025
2025 Q4,-5.54304475,-5.849315,-4.824074,-6.087719,Last 10 years,10/1/2025
2026 Q1,-4.41429279744625,-6.21561333537102,-4.1682243347168,-3.58333326876163,Last 10 years,1/1/2026
2026 Q2,-3.9741225540638,-4.72161136567593,-4.76190485060215,-3.10169477015734,Last 10 years,4/1/2026
2018 Q1,0,-3.1,1.1,3,2018 forward,3/1/2018
2018 Q2,-.5,-2.7,1.4,1.6,2018 forward,6/1/2018
2018 Q3,-2.4,-6.9,-.4,3.4,2018 forward,9/1/2018
2019 Q1,-3.6,-4.8,-1.8,-1.5,2018 forward,1/1/2019
2019 Q2,-5,-5.2,-1.3,-5.5,2018 forward,4/1/2019
2019 Q3,-.1,-3.7,2.3,1.1,2018 forward,7/1/2019
2019 Q4,-.8999999999999999,-5.3,2.2,-.8,2018 forward,10/1/2019
2020 Q1,-2.5,-3.1,-4.399999999999999,-2,2018 forward,1/1/2020
2020 Q2,-31.6,-35.6,-22.3,-22.9,2018 forward,4/1/2020
2020 Q3,-14.3,-14.9,-13.5,-7.6,2018 forward,7/1/2020
2020 Q4,-9.819269758055329,-10.8295454545455,-8.761904761904759,-5.706896551724141,2018 forward,10/1/2020
2021 Q1,-5.994375351877379,-4.88297872340425,-6.491803278688529,-3.52,2018 forward,1/1/2021
2021 Q2,-1.08772814103283,.27272727272727,-.24193548387097,.375,2018 forward,4/1/2021
2021 Q3,.52052987699196,-.14285714285714,1.88461538461538,2.36170212765957,2018 forward,7/1/2021
2021 Q4,.18147316584681,.88571428571429,2.16666666666667,1.12765957446809,2018 forward,10/1/2021
2022 Q1,.99691724700185,3.27272727272727,1.28070175438596,3.7906976744186,2018 forward,1/1/2022
2022 Q2,1.29893619371156,.8405797101449299,1.6734693877551,.76315789473684,2018 forward,4/1/2022
2022 Q3,-2.16891856080601,-5.136364,-2.6,1.909091,2018 forward,7/1/2022
2022 Q4,-2.1,-3.5,-1,2.9,2018 forward,10/1/2022
2023 Q1,-4.60377521055197,-5.210526,-3.54,-4.428571,2018 forward,1/1/2023
2023 Q2,-3.95047852176835,-6.693333,-2.927273,-2.268293,2018 forward,4/1/2023
2023 Q3,-4.79350096588936,-8.485436999999999,-3.90566,-2.594595,2018 forward,7/1/2023
2023 Q4,-5.09952248750619,-6.45679,-5.339623,-1.5,2018 forward,10/1/2023
2024 Q1,-5.26900037365825,-7.869159000000001,-3.887097,-2.886364,2018 forward,1/1/2024
2024 Q2,-4.85580899617443,-5.292517,-3.780822,-2.865385,2018 forward,4/1/2024
2024 Q3,-8.925684444303441,-10.160714,-6.22093,-2.414634,2018 forward,7/1/2024
2024 Q4,-6.76645226726406,-6.635135,-6.560605999999999,-3.607843,2018 forward,10/1/2024
2025 Q1,-6.52516157,-6.927007000000001,-6.646154,-1.818182,2018 forward,1/1/2025
2025 Q2,-7.59390533438893,-8.947977,-8.929577,-3.557692,2018 forward,4/1/2025
2025 Q3,-7.31741967769806,-7.185328,-8.815217000000001,-5.907407,2018 forward,7/1/2025
2025 Q4,-5.54304475,-5.849315,-4.824074,-6.087719,2018 forward,10/1/2025
2026 Q1,-4.41429279744625,-6.21561333537102,-4.1682243347168,-3.58333326876163,2018 forward,1/1/2026
2026 Q2,-3.9741225540638,-4.72161136567593,-4.76190485060215,-3.10169477015734,2018 forward,4/1/2026
2012 Q3,-7.6,-9.6,-9.6,-4.9,Entire Series,9/1/2012
2012 Q4,-7.7,-10.3,-11.1,-2.1,Entire Series,12/1/2012
2013 Q1,-7.7,-12.2,-6.800000000000001,-3.3,Entire Series,3/1/2013
2013 Q2,-4.3,-7.3,-1.5,-2.2,Entire Series,6/1/2013
2013 Q3,-5.600000000000001,-7.399999999999999,-6.600000000000001,-2.5,Entire Series,9/1/2013
2013 Q4,-4.8,-8.6,-2.2,-3.8,Entire Series,12/1/2013
2014 Q1,-5.68152104554993,-9.1,-5.600000000000001,-3,Entire Series,3/1/2014
2014 Q2,-3.7,-7.8,-2.5,-1.7,Entire Series,6/1/2014
2014 Q3,-3.4,-6.1,-2.5,-1.2,Entire Series,8/1/2014
2014 Q3,-3.6,-7.6,-.1,-2.2,Entire Series,9/1/2014
2014 Q4,-2.7,-4.6,.6,-1.2,Entire Series,12/1/2014
2015 Q1,-2.1,-4.8,-1.5,-1.5,Entire Series,3/1/2015
2015 Q2,-1.9,-4.2,-.6,-.8999999999999999,Entire Series,6/1/2015
2015 Q3,-2,-5.1,-2.7,-.7000000000000001,Entire Series,9/1/2015
2015 Q4,-2.8,-5.5,-1.1,-2.3,Entire Series,12/1/2015
2016 Q1,-3,-6.4,-1.1,-1.8,Entire Series,3/1/2016
2016 Q2,-3.5,-9.199999999999999,-3,-1.9,Entire Series,6/1/2016
2016 Q3,-4,-6.3,-5,-1.3,Entire Series,9/1/2016
2016 Q4,-3.4,-4.6,-1.9,-1.6,Entire Series,12/1/2016
2017 Q1,-1.8,-6.1,2.7,-1.7,Entire Series,3/1/2017
2017 Q2,-1.6,-3.7,1.2,-1.1,Entire Series,6/1/2017
2017 Q3,-2.3,-5.600000000000001,-2.4,-1,Entire Series,9/1/2017
2017 Q4,-3,-5.7,-1.1,.3,Entire Series,12/1/2017
2018 Q1,0,-3.1,1.1,3,Entire Series,3/1/2018
2018 Q2,-.5,-2.7,1.4,1.6,Entire Series,6/1/2018
2018 Q3,-2.4,-6.9,-.4,3.4,Entire Series,9/1/2018
2019 Q1,-3.6,-4.8,-1.8,-1.5,Entire Series,1/1/2019
2019 Q2,-5,-5.2,-1.3,-5.5,Entire Series,4/1/2019
2019 Q3,-.1,-3.7,2.3,1.1,Entire Series,7/1/2019
2019 Q4,-.8999999999999999,-5.3,2.2,-.8,Entire Series,10/1/2019
2020 Q1,-2.5,-3.1,-4.399999999999999,-2,Entire Series,1/1/2020
2020 Q2,-31.6,-35.6,-22.3,-22.9,Entire Series,4/1/2020
2020 Q3,-14.3,-14.9,-13.5,-7.6,Entire Series,7/1/2020
2020 Q4,-9.819269758055329,-10.8295454545455,-8.761904761904759,-5.706896551724141,Entire Series,10/1/2020
2021 Q1,-5.994375351877379,-4.88297872340425,-6.491803278688529,-3.52,Entire Series,1/1/2021
2021 Q2,-1.08772814103283,.27272727272727,-.24193548387097,.375,Entire Series,4/1/2021
2021 Q3,.52052987699196,-.14285714285714,1.88461538461538,2.36170212765957,Entire Series,7/1/2021
2021 Q4,.18147316584681,.88571428571429,2.16666666666667,1.12765957446809,Entire Series,10/1/2021
2022 Q1,.99691724700185,3.27272727272727,1.28070175438596,3.7906976744186,Entire Series,1/1/2022
2022 Q2,1.29893619371156,.8405797101449299,1.6734693877551,.76315789473684,Entire Series,4/1/2022
2022 Q3,-2.16891856080601,-5.136364,-2.6,1.909091,Entire Series,7/1/2022
2022 Q4,-2.1,-3.5,-1,2.9,Entire Series,10/1/2022
2023 Q1,-4.60377521055197,-5.210526,-3.54,-4.428571,Entire Series,1/1/2023
2023 Q2,-3.95047852176835,-6.693333,-2.927273,-2.268293,Entire Series,4/1/2023
2023 Q3,-4.79350096588936,-8.485436999999999,-3.90566,-2.594595,Entire Series,7/1/2023
2023 Q4,-5.09952248750619,-6.45679,-5.339623,-1.5,Entire Series,10/1/2023
2024 Q1,-5.26900037365825,-7.869159000000001,-3.887097,-2.886364,Entire Series,1/1/2024
2024 Q2,-4.85580899617443,-5.292517,-3.780822,-2.865385,Entire Series,4/1/2024
2024 Q3,-8.925684444303441,-10.160714,-6.22093,-2.414634,Entire Series,7/1/2024
2024 Q4,-6.76645226726406,-6.635135,-6.560605999999999,-3.607843,Entire Series,10/1/2024
2025 Q1,-6.52516157,-6.927007000000001,-6.646154,-1.818182,Entire Series,1/1/2025
2025 Q2,-7.59390533438893,-8.947977,-8.929577,-3.557692,Entire Series,4/1/2025
2025 Q3,-7.31741967769806,-7.185328,-8.815217000000001,-5.907407,Entire Series,7/1/2025
2025 Q4,-5.54304475,-5.849315,-4.824074,-6.087719,Entire Series,10/1/2025
2026 Q1,-4.41429279744625,-6.21561333537102,-4.1682243347168,-3.58333326876163,Entire Series,1/1/2026
2026 Q2,-3.9741225540638,-4.72161136567593,-4.76190485060215,-3.10169477015734,Entire Series,4/1/2026
